season,race,driver,lap,lap_time_s,tire,tire_age,stint,position
2018,Australian Grand Prix,GAS,2.0,93.372,ULTRASOFT,1.0,1.0,17.0
2018,Australian Grand Prix,GAS,3.0,92.861,ULTRASOFT,2.0,1.0,17.0
2018,Australian Grand Prix,GAS,4.0,92.184,ULTRASOFT,3.0,1.0,17.0
2018,Australian Grand Prix,GAS,5.0,92.332,ULTRASOFT,4.0,1.0,17.0
2018,Australian Grand Prix,GAS,6.0,98.18,ULTRASOFT,5.0,1.0,16.0
2018,Australian Grand Prix,GAS,7.0,91.537,ULTRASOFT,6.0,1.0,16.0
2018,Australian Grand Prix,GAS,8.0,91.319,ULTRASOFT,7.0,1.0,16.0
2018,Australian Grand Prix,GAS,9.0,91.141,ULTRASOFT,8.0,1.0,16.0
2018,Australian Grand Prix,GAS,10.0,91.136,ULTRASOFT,9.0,1.0,16.0
2018,Australian Grand Prix,GAS,11.0,90.937,ULTRASOFT,10.0,1.0,16.0
2018,Australian Grand Prix,GAS,12.0,90.743,ULTRASOFT,11.0,1.0,16.0
2018,Australian Grand Prix,GAS,13.0,90.649,ULTRASOFT,12.0,1.0,16.0
2018,Australian Grand Prix,PER,2.0,92.896,ULTRASOFT,1.0,1.0,12.0
2018,Australian Grand Prix,PER,3.0,92.004,ULTRASOFT,2.0,1.0,12.0
2018,Australian Grand Prix,PER,4.0,91.372,ULTRASOFT,3.0,1.0,12.0
2018,Australian Grand Prix,PER,5.0,91.16,ULTRASOFT,4.0,1.0,12.0
2018,Australian Grand Prix,PER,6.0,91.558,ULTRASOFT,5.0,1.0,12.0
2018,Australian Grand Prix,PER,7.0,91.838,ULTRASOFT,6.0,1.0,12.0
2018,Australian Grand Prix,PER,8.0,90.922,ULTRASOFT,7.0,1.0,12.0
2018,Australian Grand Prix,PER,9.0,90.859,ULTRASOFT,8.0,1.0,12.0
2018,Australian Grand Prix,PER,10.0,90.922,ULTRASOFT,9.0,1.0,12.0
2018,Australian Grand Prix,PER,11.0,90.419,ULTRASOFT,10.0,1.0,12.0
